Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,*SAT or ACT,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank
1,California Institute of Technology,CA,939,21%,99/100%,3,71%,85%,10,"$32,682 ","$10,981 ",100%,93%,"$18,553 ",15%,"$10,244 ",4
2,Rice University,TX,2787,24%,89/92%,5,68%,89%,19,"$28,350 ","$14,779 ",100%,88%,"$22,418 ",34%,"$12,705 ",5
3,Williams College,MA,1985,23%,93/93%,8,89%,94%,1,"$36,550 ","$14,737 ",100%,89%,"$33,251 ",NA,"$12,316 ",26
4,Swarthmore College,PA,1479,24%,94/98%,8,86%,92%,4,"$38,676 ","$17,386 ",100%,85%,"$11,404 ",2%,"$12,759 ",21
5,Amherst College,MA,1618,18%,94/92%,9,84%,94%,5,"$38,492 ","$14,453 ",100%,92%,"$33,411 ",NA,"$11,544 ",38
6,Webb Institute,NY,67,42%,100/100%,7,79%,83%,39,"$8,079 ","$5,579 ",20%,100%,"$8,079 ",100%,"$5,700 ",1
7,Yale University,CT,5339,8%,96/97%,7,88%,95%,3,"$38,432 ","$15,729 ",100%,89%,"$38,432 ",NA,"$19,228 ",53
8,Washington and Lee University,VA,1750,31%,89/89%,11,86%,89%,30,"$30,225 ","$15,452 ",99%,87%,"$22,063 ",31%,"$15,634 ",9
9,Harvard University,MA,6637,11%,90*/90*%,8,86%,97%,8,"$38,831 ","$17,456 ",100%,90%,"$33,201 ",NA,"$10,465 ",46
10,Stanford University,CA,7360,13%,93/95%,7,77%,93%,6,"$38,875 ","$17,746 ",100%,86%,"$33,709 ",NA,"$15,782 ",62
11,Princeton University,NJ,4779,11%,95/97%,5,91%,97%,7,"$40,169 ","$18,325 ",100%,94%,"$40,169 ",NA,"$12,000 ",59
12,Massachusetts Institute of Technology,MA,4178,16%,95/100%,6,82%,91%,2,"$39,213 ","$19,609 ",100%,85%,"$30,337 ",NA,"$22,855 ",82
13,Pomona College,CA,1551,23%,98/97%,9,83%,88%,21,"$38,130 ","$17,411 ",100%,80%,"$35,702 ",NA,"$15,600 ",43
14,Emory University,GA,6302,42%,89/94%,7,82%,87%,15,"$37,272 ","$19,657 ",100%,73%,"$23,615 ",19%,"$17,675 ",54
